股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
601607,2021-06-30,按产品分类,分销,92487385777.05,0.878845,86328870929.79,0.950651,6158514847.26,0.426868,0.066588
601607,2021-06-30,按产品分类,工业,12601614547.89,0.119745,5090721766.36,0.056059,7510892781.53,0.520606,0.596026
601607,2021-06-30,按产品分类,零售,3708499971.81,0.035239,3201232343.96,0.035252,507267627.85,0.03516,0.136785
601607,2021-06-30,按产品分类,其他(补充),345369550.72,0.003282,169264360.33,0.001864,176105190.39,0.012206,0.509904
601607,2021-06-30,按产品分类,其他,228622512.16,0.002172,94911526.2,0.001045,133710985.96,0.009268,0.584855
601607,2021-06-30,按产品分类,抵消,-4134023477.66,-0.039283,-4074734584.75,-0.044871,-59288892.91,-0.00411,
601607,2021-06-30,按地区分类,国内销售,103746843324.05,0.985836,89998651855.55,0.991063,13748191468.5,0.952935,0.132517
601607,2021-06-30,按地区分类,国外销售,1145256007.2,0.010883,642350126.01,0.007074,502905881.19,0.034858,0.439121
601607,2021-06-30,按地区分类,其他(补充),345369550.72,0.003282,169264360.33,0.001864,176105190.39,0.012206,0.509904
601607,2020-12-31,按行业分类,分销,167650205994.46,0.873591,155633865780.21,0.946252,12016340214.25,0.43799,0.071675
601607,2020-12-31,按行业分类,工业,23743175872.04,0.123721,9713252275.05,0.059056,14029923596.99,0.511384,0.590903
601607,2020-12-31,按行业分类,零售,8519004157.66,0.044391,7349288810.07,0.044684,1169715347.59,0.042636,0.137307
601607,2020-12-31,按行业分类,其他(补充),485958653.18,0.002532,250911835.93,0.001526,235046817.25,0.008567,0.483677
601607,2020-12-31,按行业分类,其他,336926182.01,0.001756,232933626.7,0.001416,103992555.31,0.00379,0.308651
601607,2020-12-31,按行业分类,抵消,-8826114698.47,-0.045991,-8706291103.61,-0.052934,-119823594.86,-0.004368,
601607,2020-12-31,按产品分类,分销,167650205994.46,0.873591,155633865780.21,0.946252,12016340214.25,0.43799,0.071675
601607,2020-12-31,按产品分类,工业,23743175872.04,0.123721,9713252275.05,0.059056,14029923596.99,0.511384,0.590903
601607,2020-12-31,按产品分类,零售,8519004157.66,0.044391,7349288810.07,0.044684,1169715347.59,0.042636,0.137307
601607,2020-12-31,按产品分类,其他,1191048039.78,0.006206,578026941.0,0.003514,613021098.78,0.022344,0.51469
601607,2020-12-31,按产品分类,抵消,-9194277903.06,-0.04791,-8800472581.98,-0.053507,-393805321.08,-0.014354,
601607,2020-12-31,按地区分类,国内销售,188369663807.76,0.981556,162090267810.15,0.985507,26279395997.61,0.957872,0.13951
601607,2020-12-31,按地区分类,国外销售,3053533699.94,0.015911,2132781578.27,0.012967,920752121.67,0.033561,0.301537
601607,2020-12-31,按地区分类,其他(补充),485958653.18,0.002532,250911835.93,0.001526,235046817.25,0.008567,0.483677
601607,2020-06-30,按行业分类,分销,75451463608.15,0.865615,69972763895.39,0.944875,5478699712.76,0.4179,0.072612
601607,2020-06-30,按行业分类,工业,11674691545.54,0.133938,4730226128.36,0.063874,6944465417.18,0.529705,0.594831
601607,2020-06-30,按行业分类,零售,3767820629.2,0.043226,3242650964.49,0.043787,525169664.71,0.040059,0.139383
601607,2020-06-30,按行业分类,其他(补充),234607317.41,0.002692,91108696.35,0.00123,143498621.06,0.010946,0.611654
601607,2020-06-30,按行业分类,其他,168126525.82,0.001929,90535737.42,0.001223,77590788.4,0.005918,0.461502
601607,2020-06-30,按行业分类,抵消,-4131604490.73,-0.0474,-4072238697.99,-0.054989,-59365792.74,-0.004528,
